date,product,category,branch,region,customer_id,quantity,unit_price,revenue,cost
2025-08-01,"FEDUS Cat6 Ethernet Cable, 10 Meter High Speed 550MHZ / 10 Gigabit Speed UTP LAN Cable, Network Cable Internet Cable RJ45 Cable LAN Wire, Patch Computer Cord Gigabit Category 6 Wir",Computers & Accessories,Mumbai,West,AG6UPQFCRHSQODIOVIMER3P47VQA,1,287.0,287.0,172.75
2025-08-01,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",Electronics,Mumbai,West,AFY5TVFOMVHGBPBTIJODYDQRZM5Q,1,309.0,309.0,198.09
2025-08-01,"CARECASE® Optical Bay 2nd Hard Drive Caddy, 9.5 mm CD/DVD Drive Slot for SSD and HDD",Computers & Accessories,Bengaluru,South,AEBQPMPROYPTAQLTNBBFS4OQBYGQ,1,199.0,199.0,151.81
2025-08-01,"Noise ColorFit Pulse Grand Smart Watch with 1.69"" HD Display, 60 Sports Modes, 150 Watch Faces, Spo2 Monitoring, Call Notification, Quick Replies to Text & Calls (Rose Pink)",Electronics,Bengaluru,South,AHHA3DXLSJ3LS57KWW56FPPV4OKA,4,1999.0,7996.0,5756.44
2025-08-01,MI 100 cm (40 inches) 5A Series Full HD Smart Android LED TV with 24W Dolby Audio & Metal Bezel-Less Frame (Black) (2022 Model),Electronics,Hyderabad,South,AE2ODWBBOBD2SITDDIEJ644OSRFQ,3,21999.0,65997.0,49912.8
2025-08-01,"VR 18 Pcs - 3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large, Medium, Small Plastic Snack Seal Sealing Bag Clips Vacuum Sealer (Set of 18, Multi-Color) (Multicolor)",Home & Kitchen,Delhi,North,AGOTH5WF7GFVYSVFB74QR6DFFJGQ,2,89.0,178.0,128.27
2025-08-01,"TP-Link UE300C USB Type-C to RJ45 Gigabit Ethernet Network Adapter/RJ45 LAN Wired Adapter for Ultrabook, Chromebook, Laptop, Desktop, Plug & Play, USB 3.0, Foldable and Portable De",Computers & Accessories,Mumbai,West,AFAFMRV4L35642NQMP3WELYPQ6ZQ,2,1199.0,2398.0,1492.12
2025-08-01,Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),Computers & Accessories,Jaipur,North,AFWQUAD7B6KQ6EMMOUGFBPXWFAYQ,2,299.0,598.0,466.11
2025-08-01,"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Computers & Accessories,Gurugram,North,AGNONTMQDE5KLLDEEB57Z3C5WAEA,3,179.0,537.0,354.36
2025-08-01,"SanDisk Ultra 64 GB USB Pen Drives (SDDDC2-064G-I35, Black, Silver)",Computers & Accessories,Chennai,South,AHCEM32SEYJBW2IHJIAF62AVK4VQ,4,729.0,2916.0,1646.39
2025-08-02,"realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) Octa Core Processor | 6.5"" inch Large Display",Electronics,Jaipur,North,AFFOR2CVZKO4LFXRBJ2WEQXRHDKA,2,7499.0,14998.0,11027.86
2025-08-02,"Pilot Frixion Clicker Roller Pen (Blue), (9000019529)",Office Products,Mumbai,West,AES4QRD3RAYW2ORTU7E7K76ODZ5A,1,90.0,90.0,57.73
2025-08-02,"Noise ColorFit Ultra Smart Watch with 1.75"" HD Display, Aluminium Alloy Body, 60 Sports Modes, Spo2, Lightweight, Stock Market Info, Calls & SMS Reply (Space Blue)",Electronics,Gurugram,North,AEZH7UN4SKV7VKJ3NYH7D7CBHA4A,2,2499.0,4998.0,3223.97
2025-08-02,"Wonderchef Nutri-blend Complete Kitchen Machine | 22000 RPM Mixer Grinder, Blender, Chopper, Juicer | 400W Powerful motor | SS Blades | 4 Unbreakable Jars | 2 Years Warranty | Onli",Home & Kitchen,Kolkata,East,AGMU7VJAAQCGVXR2I45DBZ4UOXGQ,1,3299.0,3299.0,2053.94
2025-08-02,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers & Accessories,Jaipur,North,AEW6KBDGJEWIOQKAW3FP74GMV6TA,1,199.0,199.0,132.57
2025-08-02,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (R",Computers & Accessories,Hyderabad,South,AHCTC6ULH4XB6YHDY6PCH2R772LQ,2,199.0,398.0,296.21
2025-08-02,Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50 | L50M6-RA (Black),Electronics,Gurugram,North,AH4TEK5IQCC2BSF2KSQNKQEXAPLA,1,32999.0,32999.0,23248.44
2025-08-02,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices ",Computers & Accessories,Mumbai,West,AFQRX6TAM6CHKARXIXR25X4Y2K2A,1,199.0,199.0,153.11
2025-08-02,"Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))",Home & Kitchen,Bengaluru,South,AGZN422FGG7JO3T5YY6IVUELOODA,2,1439.0,2878.0,1611.6
2025-08-02,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Electronics,Ahmedabad,West,AFURD6VVHRG4HZ36KXGXYUTVUDLA,1,13490.0,13490.0,8045.06
2025-08-02,Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black),Electronics,Gurugram,North,AGACLGW4IBQOHLA6UJBIUNGVBRMQ,1,27999.0,27999.0,19078.95
